id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,timbunan_sampah_kota,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3874.75,TON PER HARI,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1074.39,TON PER HARI,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,251.44,TON PER HARI,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4861.38,TON PER HARI,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,1191.63,TON PER HARI,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1191.08,TON PER HARI,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,669.0,TON PER HARI,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,645.39,TON PER HARI,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1194.23,TON PER HARI,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,652.9,TON PER HARI,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,610.15,TON PER HARI,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1572.26,TON PER HARI,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1249.37,TON PER HARI,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,792.22,TON PER HARI,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2230.4,TON PER HARI,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,3150.26,TON PER HARI,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1579.7,TON PER HARI,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,476.5,TON PER HARI,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,2543.42,TON PER HARI,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,794.64,TON PER HARI,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,6278.54,TON PER HARI,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,779.87,TON PER HARI,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,6120.73,TON PER HARI,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,4728.97,TON PER HARI,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,1444.12,TON PER HARI,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1211.17,TON PER HARI,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,333.87,TON PER HARI,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,4127.0,TON PER HARI,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1144.0,TON PER HARI,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2680.0,TON PER HARI,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5177.0,TON PER HARI,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,1269.0,TON PER HARI,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1191.0,TON PER HARI,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,712.0,TON PER HARI,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,687.0,TON PER HARI,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,1272.0,TON PER HARI,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,695.0,TON PER HARI,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,650.0,TON PER HARI,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1674.0,TON PER HARI,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,1331.0,TON PER HARI,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,844.0,TON PER HARI,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2375.0,TON PER HARI,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,3355.0,TON PER HARI,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1682.0,TON PER HARI,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,507.0,TON PER HARI,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,2550.0,TON PER HARI,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,846.0,TON PER HARI,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,6687.0,TON PER HARI,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,831.0,TON PER HARI,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,6519.0,TON PER HARI,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,5036.0,TON PER HARI,2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,1538.0,TON PER HARI,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1290.0,TON PER HARI,2017
54,32,JAWA BARAT,3279,KOTA BANJAR,356.0,TON PER HARI,2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,5658.62,TON PER HARI,2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3547.0,TON PER HARI,2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3411.0,TON PER HARI,2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8706.0,TON PER HARI,2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,7142.4,TON PER HARI,2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.0,TON PER HARI,2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3718.1,TON PER HARI,2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2937.55,TON PER HARI,2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,4965.3,TON PER HARI,2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2898.7,TON PER HARI,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2751.44,TON PER HARI,2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2771.7,TON PER HARI,2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,3845.25,TON PER HARI,2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,91377.0,TON PER HARI,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5194.8,TON PER HARI,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,7407.1,TON PER HARI,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4815.3,TON PER HARI,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1091.0,TON PER HARI,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,4126.37,TON PER HARI,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,717.4,TON PER HARI,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,7503.5,TON PER HARI,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,0.0,TON PER HARI,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,7224.7,TON PER HARI,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,5154.9,TON PER HARI,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,278.9,TON PER HARI,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1735.75,TON PER HARI,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,208.7,TON PER HARI,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,2977.0,TON PER HARI,2020
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1006.0,TON PER HARI,2020
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1117.0,TON PER HARI,2020
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1355.0,TON PER HARI,2020
86,32,JAWA BARAT,3205,KABUPATEN GARUT,1151.0,TON PER HARI,2020
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,754.0,TON PER HARI,2020
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,564.0,TON PER HARI,2020
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,540.0,TON PER HARI,2020
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,1096.0,TON PER HARI,2020
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,518.0,TON PER HARI,2020
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,438.0,TON PER HARI,2020
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1077.0,TON PER HARI,2020
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,1023.0,TON PER HARI,2020
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,388.0,TON PER HARI,2020
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,942.0,TON PER HARI,2020
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,2258.0,TON PER HARI,2020
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1135.0,TON PER HARI,2020
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,252.0,TON PER HARI,2020
100,32,JAWA BARAT,3271,KOTA BOGOR,567.0,TON PER HARI,2020
101,32,JAWA BARAT,3272,KOTA SUKABUMI,181.0,TON PER HARI,2020
102,32,JAWA BARAT,3273,KOTA BANDUNG,1630.0,TON PER HARI,2020
103,32,JAWA BARAT,3274,KOTA CIREBON,192.0,TON PER HARI,2020
104,32,JAWA BARAT,3275,KOTA BEKASI,1923.0,TON PER HARI,2020
105,32,JAWA BARAT,3276,KOTA DEPOK,1516.0,TON PER HARI,2020
106,32,JAWA BARAT,3277,KOTA CIMAHI,369.0,TON PER HARI,2020
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,285.0,TON PER HARI,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,79.0,TON PER HARI,2020
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,971.59,TON PER HARI,2021
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,356.02,TON PER HARI,2021
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,355.69,TON PER HARI,2021
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1489.04,TON PER HARI,2021
113,32,JAWA BARAT,3205,KABUPATEN GARUT,321.17,TON PER HARI,2021
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,172.26,TON PER HARI,2021
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,159.41,TON PER HARI,2021
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,405.76,TON PER HARI,2021
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,242.52,TON PER HARI,2021
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,546.54,TON PER HARI,2021
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,707.75,TON PER HARI,2021
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,792.48,TON PER HARI,2021
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,739.6,TON PER HARI,2021
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,239.72,TON PER HARI,2021
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,614.61,TON PER HARI,2021
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,1193.76,TON PER HARI,2021
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,201.09,TON PER HARI,2021
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,46.62,TON PER HARI,2021
127,32,JAWA BARAT,3271,KOTA BOGOR,719.72,TON PER HARI,2021
128,32,JAWA BARAT,3272,KOTA SUKABUMI,232.06,TON PER HARI,2021
129,32,JAWA BARAT,3273,KOTA BANDUNG,1529.04,TON PER HARI,2021
130,32,JAWA BARAT,3274,KOTA CIREBON,229.75,TON PER HARI,2021
131,32,JAWA BARAT,3275,KOTA BEKASI,1500.77,TON PER HARI,2021
132,32,JAWA BARAT,3276,KOTA DEPOK,1418.87,TON PER HARI,2021
133,32,JAWA BARAT,3277,KOTA CIMAHI,193.36,TON PER HARI,2021
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,295.87,TON PER HARI,2021
135,32,JAWA BARAT,3279,KOTA BANJAR,60.29,TON PER HARI,2021
